freq,s_adj,age,unit,sex,geo,time,value
M,SA,TOTAL,PC_ACT,T,NL,2005-09,6.9
M,SA,TOTAL,PC_ACT,T,NL,2005-10,6.9
M,SA,TOTAL,PC_ACT,T,NL,2005-11,6.8
M,SA,TOTAL,PC_ACT,T,NL,2005-12,6.8
M,SA,TOTAL,PC_ACT,T,NL,2006-01,6.5
M,SA,TOTAL,PC_ACT,T,NL,2006-02,6.5
M,SA,TOTAL,PC_ACT,T,NL,2006-03,6.3
M,SA,TOTAL,PC_ACT,T,NL,2006-04,6.2
M,SA,TOTAL,PC_ACT,T,NL,2006-05,6.2
M,SA,TOTAL,PC_ACT,T,NL,2006-06,6.0
M,SA,TOTAL,PC_ACT,T,NL,2006-07,6.0
M,SA,TOTAL,PC_ACT,T,NL,2006-08,5.9
M,SA,TOTAL,PC_ACT,T,NL,2006-09,5.9
M,SA,TOTAL,PC_ACT,T,NL,2006-10,5.9
M,SA,TOTAL,PC_ACT,T,NL,2006-11,5.9
M,SA,TOTAL,PC_ACT,T,NL,2006-12,5.8
M,SA,TOTAL,PC_ACT,T,NL,2007-01,5.7
M,SA,TOTAL,PC_ACT,T,NL,2007-02,5.7
M,SA,TOTAL,PC_ACT,T,NL,2007-03,5.5
M,SA,TOTAL,PC_ACT,T,NL,2007-04,5.3
M,SA,TOTAL,PC_ACT,T,NL,2007-05,5.3
M,SA,TOTAL,PC_ACT,T,NL,2007-06,5.2
M,SA,TOTAL,PC_ACT,T,NL,2007-07,5.3
M,SA,TOTAL,PC_ACT,T,NL,2007-08,5.2
M,SA,TOTAL,PC_ACT,T,NL,2007-09,5.2
